CNPJ_Fundo;Data_Referencia;Versao;Tipo;Emissor;CNPJ_Emissor;Emissao;Serie;Codigo_Acao;Nome_Ativo;Data_Vencimento;Quantidade;Valor
00.332.266/0001-31;2023-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;12836.20693;758199.25
00.332.266/0001-31;2023-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;153683.58822;9077664.76
00.332.266/0001-31;2023-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;55484.7;3380291.48
00.332.266/0001-31;2023-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;182791.46;11136194.85
00.762.723/0001-28;2023-03-31;2;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;37900.58;2238682.64
00.762.723/0001-28;2023-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;58496.34;3563769.77
00.868.235/0001-08;2023-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;5592.49;330332.74
00.868.235/0001-08;2023-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;25242.71;1537860.4
01.201.140/0001-90;2023-03-31;2;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;73558.12;7111317.65
01.201.140/0001-90;2023-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;104744.30804;6381332.22
01.235.622/0001-61;2023-03-31;2;FII;OPPORTUNITY BALASSIANO FII- B;42273290000197;;;;;;71436.04;83395414.98
01.235.622/0001-61;2023-03-31;2;Ações de Sociedades;Taquari - Brasília;1235622000161;;;;;;82945;126720599.28
01.235.622/0001-61;2023-03-31;2;FII;Dovel FII;10522648000181;;;;;;51145.01;61371572.76
01.235.622/0001-61;2023-03-31;2;FII;BRIX FII- SÊNIOR;35360651000177;;;;;;12309.01;17320264.38
01.235.622/0001-61;2023-03-31;2;FII;OPPORTUNITY BALASSIANO FII- A;42273290000197;;;;;;1063;1084443.89
01.235.622/0001-61;2023-03-31;2;FII;OPPORTUNITY BALASSIANO FII- C;42273290000197;;;;;;9502.68;1448967.06
01.235.622/0001-61;2023-03-31;2;Ações de Sociedades;Brasilia Plaza S/A;3772684000138;;;;;;33370561;1273170.81
01.235.622/0001-61;2023-03-31;2;Ações de Sociedades;19 de Fevereiro Empr. E Partic. Ltda;35795251000194;;;;;;284601252;734096.05
01.235.622/0001-61;2023-03-31;2;Ações de Sociedades;XX de Novembro Invest. E Part. S/A;3538833000107;;;;;;315912258;81238063.89
01.235.622/0001-61;2023-03-31;2;FII;BRIX FII;35360651000177;;;;;;10141.83;3954520.29
01.235.622/0001-61;2023-03-31;2;FII;Dovel FII- DOVL11B;10522648000181;;;;;;4775;5729772.55
01.235.622/0001-61;2023-03-31;2;Ações de Sociedades;4 De Janeiro Adm. E Partic. Ltda;31894926000100;;;;;;61513174;39991083.1
01.235.622/0001-61;2023-03-31;2;CRI/CRA;RB SEC COMPANHIA DE SECURITIZACAO - CRI_18L1368427_CCI;2773542000122;1;201;;;;1;136304173.55
01.235.622/0001-61;2023-03-31;2;CRI/CRA;RB SEC COMPANHIA DE SECURITIZACAO - - CRI_18L1368427;2773542000122;1;201;;;;34;2717907.51
01.235.622/0001-61;2023-03-31;2;CRI/CRA;RB SEC COMPANHIA DE SECURITIZACAO- CRI_18L1368412;2773542000122;1;200;;;;429;42264648.37
01.235.622/0001-61;2023-03-31;2;Outras Cotas de FI;CAIXA FIC PLENO RF REF DI LP;10740508000180;;;;;;46996.21;116010.86
01.235.622/0001-61;2023-03-31;2;Outras Cotas de FI;OPPORTUNITY LEBLON FI RF REFERENCIADO DI;10309574000108;;;;;;399962.36;23606190.97
01.235.622/0001-61;2023-03-31;2;Outras Cotas de FI;CAIXA FACIL RENDA FIXA SIMPLES FIC FI;5114716000133;;;;;;0;0.02
01.235.622/0001-61;2023-03-31;2;FII;BRIX FII- MEZANINO;35360651000177;;;;;;26171.31;30487129.3
01.235.622/0001-61;2023-03-31;2;Outras Cotas de FI;FICFI ITAU TOP RENDA FIXA REFERENCIADO DI;5902521000158;;;;;;3365.27;19907.85
01.235.622/0001-61;2023-03-31;2;CRI/CRA;RB SEC COMPANHIA DE SECURITIZACAO - CRI_18L1368412;2773542000122;1;200;;;;461;45417256.17
01.235.622/0001-61;2023-03-31;2;CRI/CRA;RB SEC COMPANHIA DE SECURITIZACAO - - CRI_18L1368427;2773542000122;1;201;;;;36;2877784.42
01.235.622/0001-61;2023-03-31;2;FII;FII- GENERAL SEVERIANO;17007528000195;;;;;;8000;14187164.99
01.235.622/0001-61;2023-06-30;1;Ações de Sociedades;19 de Fevereiro Empr. E Partic. Ltda;35795251000194;;;;;;284601252;292989.02
01.235.622/0001-61;2023-06-30;1;CRI/CRA;RB SEC COMPANHIA DE SECURITIZACAO - CRI_18L1368412;2773542000122;1;200;;;;461;45292486.01
01.235.622/0001-61;2023-06-30;1;Ações de Sociedades;XX de Novembro Invest. E Part. S/A;3538833000107;;;;;;315912258;79639538.64
01.235.622/0001-61;2023-06-30;1;Outras Cotas de FI;CAIXA FACIL RENDA FIXA SIMPLES FIC FI;5114716000133;;;;;;0;0.02
01.235.622/0001-61;2023-06-30;1;CRI/CRA;RB SEC COMPANHIA DE SECURITIZACAO - CRI_18L1368427_CCI;2773542000122;1;201;;;;1;136304173.55
01.235.622/0001-61;2023-06-30;1;CRI/CRA;RB SEC COMPANHIA DE SECURITIZACAO- CRI_18L1368412;2773542000122;1;200;;;;429;42148539.04
01.235.622/0001-61;2023-06-30;1;FII;OPPORTUNITY BALASSIANO FII- C;42273290000197;;;;;;9700;228995.71
01.235.622/0001-61;2023-06-30;1;FII;FII DOVEL - DOVL11B;10522648000181;;;;;;4775;5735461.12
01.235.622/0001-61;2023-06-30;1;Outras Cotas de FI;OPPORTUNITY LEBLON FI RF REFERENCIADO DI;10309574000108;;;;;;32359058.43;119101413.69
01.235.622/0001-61;2023-06-30;1;FII;BRIX FII- SÊNIOR;35360651000177;;;;;;13704.08;20056215.58
01.235.622/0001-61;2023-06-30;1;Outras Cotas de FI;CAIXA FIC PLENO RF REF DI LP;10740508000180;;;;;;46585.24;118627.46
01.235.622/0001-61;2023-06-30;1;Ações de Sociedades;Taquari - Brasília;1235622000161;;;;;;82945;126569919.43
01.235.622/0001-61;2023-06-30;1;FII;Dovel FII;10522648000181;;;;;;51145.01;61432502.96
01.235.622/0001-61;2023-06-30;1;CRI/CRA;RB SEC COMPANHIA DE SECURITIZACAO - - CRI_18L1368427;2773542000122;1;201;;;;36;3232511.82
01.235.622/0001-61;2023-06-30;1;CRI/CRA;RB SEC COMPANHIA DE SECURITIZACAO - - CRI_18L1368427;2773542000122;1;201;;;;34;3052927.83
01.235.622/0001-61;2023-06-30;1;FII;BRIX FII;35360651000177;;;;;;10141.83;2377366.57
01.235.622/0001-61;2023-06-30;1;FII;FII- GENERAL SEVERIANO;17007528000195;;;;;;8000;14090274.99
01.235.622/0001-61;2023-06-30;1;Ações de Sociedades;4 De Janeiro Adm. E Partic. Ltda;31894926000100;;;;;;62013174;39107485.8
01.235.622/0001-61;2023-06-30;1;Ações de Sociedades;Brasilia Plaza S/A;3772684000138;;;;;;33370561;1355898.31
01.235.622/0001-61;2023-06-30;1;Outras Cotas de FI;FICFI ITAU SOBERANO RENDA FIXA SIMPLES LP;6175696000173;;;;;;398614.59;24269896.9
01.235.622/0001-61;2023-06-30;1;FII;BRIX FII- MEZANINO;35360651000177;;;;;;39905.95;48406443.4
01.235.622/0001-61;2023-06-30;1;Outras Cotas de FI;FICFI ITAU TOP RENDA FIXA REFERENCIADO DI;5902521000158;;;;;;3352.18;20404.25
01.235.622/0001-61;2023-06-30;1;FII;OPPORTUNITY BALASSIANO FII- B;42273290000197;;;;;;74932;90228434.17
01.497.954/0001-14;2023-03-31;1;Outras Cotas de FI;Bradesco FICFI RF Referenciado DI Special;60906179000172;;;;;;341.78;23967.68
01.497.954/0001-14;2023-06-30;1;Outras Cotas de FI;Bradesco FICFI RF Referenciado DI Special;60906179000172;;;;;;512.33;11703.86
01.601.918/0001-59;2023-03-31;1;FII;Fundo SDI Rio Bravo Renda Logística;16.671.412/0001-93;;;;;;61050;5433450
01.601.918/0001-59;2023-03-31;1;Outras Cotas de FI;ITAU SOBERANO RF SIMPLES;6175696000173;;;;;;3279.24;193695.76
01.601.918/0001-59;2023-06-30;1;FII;Fundo SDI Rio Bravo Renda Logística;16.671.412/0001-93;;;;;;61050;5921850
01.601.918/0001-59;2023-06-30;1;Outras Cotas de FI;ITAU SOBERANO RF SIMPLES;6175696000173;;;;;;839.4;51138.92
01.633.741/0001-72;2023-03-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2029;;8;103034.01
01.633.741/0001-72;2023-03-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 09/2027;;2;25446.18
01.633.741/0001-72;2023-03-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2026;;34;433368.74
01.633.741/0001-72;2023-03-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2027;;17;215978.3
01.633.741/0001-72;2023-06-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2029;;11;146358.47
01.633.741/0001-72;2023-06-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 09/2027;;1;13064.01
01.633.741/0001-72;2023-06-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2027;;17;221906.81
01.633.741/0001-72;2023-06-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2026;;34;445881.1
01.636.325/0001-28;2023-03-31;2;Outros Ativos Financeiros;Aplicação Itaú Corpus Plus DI;60701190000104;;;;Aplicação Automática;;2700.6;10424672.82
01.636.325/0001-28;2023-06-30;1;Outros Ativos Financeiros;Aplicação Itaú Corpus Plus DI;60701190000104;;;;Aplicação Automática;;2700.6;10424672.82
01.657.856/0001-05;2023-03-31;1;Outras Cotas de FI;ITAU - CDB DI;360305000104;;;;;;1;751546.31
01.657.856/0001-05;2023-03-31;1;Outras Cotas de FI;CAIXA FIC GIRO MPE RF REF DI LP;10551370000170;;;;;;7353.74;16500.96
01.657.856/0001-05;2023-03-31;1;Outras Cotas de FI;CAIXA FIC GIRO EMPRESARIAL RF DLL;16.916.063/0001-22;;;;;;107023.6;214860.27
01.657.856/0001-05;2023-06-30;1;Outras Cotas de FI;CAIXA FIC GIRO EMPRESARIAL RF DLL;16.916.063/0001-22;;;;;;106172.84;219160.47
01.657.856/0001-05;2023-06-30;1;Outras Cotas de FI;TRUST ITAU - DI;360305000104;;;;;;1;696592.21
01.657.856/0001-05;2023-06-30;1;Outras Cotas de FI;CAIXA FIC GIRO MPE RF REF DI LP;10551370000170;;;;;;65439.06;152456.64
02.027.437/0001-44;2023-03-31;2;Outras Cotas de FI;Itaú Soberano RF Simples LP FI;6175696000173;;;;;;14248.24;841603.95
02.027.437/0001-44;2023-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FI;6175696000173;;;;;;11661.88;710476.02
02.508.235/0001-14;2023-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;32515.64;1920608.92
02.508.235/0001-14;2023-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;31564.51;1923003.1
03.251.720/0001-18;2023-03-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2028;;112;1431582.2
03.251.720/0001-18;2023-03-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 09/2027;;84;1072383.2
03.251.720/0001-18;2023-03-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 09/2025;;2;25347.67
03.251.720/0001-18;2023-03-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2029;;1196;15409758.9
03.251.720/0001-18;2023-03-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2026;;158;2014145.01
03.251.720/0001-18;2023-03-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2027;;7;88800.34
03.251.720/0001-18;2023-03-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 09/2026;;25;319405.68
03.251.720/0001-18;2023-06-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2028;;3;39438.88
03.251.720/0001-18;2023-06-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 09/2025;;2;26050.17
03.251.720/0001-18;2023-06-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 09/2026;;25;327876.53
03.251.720/0001-18;2023-06-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2029;;1178;15574610.74
03.251.720/0001-18;2023-06-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2026;;47;616902.28
03.251.720/0001-18;2023-06-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2027;;7;92743.83
03.507.519/0001-59;2023-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;123461.53;7292531.63
03.507.519/0001-59;2023-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;126575.75;7711368.13
03.683.056/0001-86;2023-03-31;1;FII;Brazil Real Estate Victory;26195121000120;;;;;;468872;48293816
03.683.056/0001-86;2023-03-31;1;FII;Renda Educacional;13873457000152;;;;;;22141;2729763.89
03.683.056/0001-86;2023-03-31;1;FII;Rio Bravo Fundo de Fundos;17329029000114;;;;;;123562;5840775.74
03.683.056/0001-86;2023-03-31;1;Outras Cotas de FI;Itaú SOBERANO FR SIMPLES LP FICFI;6175696000173;;;;;;211397.51;12486666.47
03.683.056/0001-86;2023-03-31;1;FII;Autonomy Edifícios Corporativos FII;35765826000126;;;;;;2270;138470
03.683.056/0001-86;2023-03-31;1;FII;The One;12948291000123;;;;;;756;128217.6
03.683.056/0001-86;2023-06-30;1;FII;Rio Bravo Fundo de Fundos;17329029000114;;;;;;93937;5531010.56
03.683.056/0001-86;2023-06-30;1;FII;Autonomy Edifícios Corporativos FII;35765826000126;;;;;;2270;160829.5
03.683.056/0001-86;2023-06-30;1;FII;Renda Educacional;13873457000152;;;;;;21278;2935725.66
03.683.056/0001-86;2023-06-30;1;FII;Brazil Real Estate Victory;26195121000120;;;;;;468872;46887200
03.683.056/0001-86;2023-06-30;1;Outras Cotas de FI;Itaú SOBERANO FR SIMPLES LP FICFI;6175696000173;;;;;;229770.01;13998266.4
03.683.056/0001-86;2023-06-30;1;FII;The One;12948291000123;;;;;;756;149672.88
03.855.441/0001-63;2023-03-31;1;Outras Cotas de FI;L.F. Macaé FI RF;13950198000116;;;;;;564143.6721238;142461242.65
03.855.441/0001-63;2023-06-30;1;Outras Cotas de FI;L.F. Macaé FI RF;13950198000116;;;;;;537351.2723237;139940464.68
04.066.582/0001-60;2023-03-31;1;Outras Cotas de FI;ITAU SOBERANO RF SIMPLES LP FICFI;06175696000173;;;;;;21812.29;1284401.99
04.066.582/0001-60;2023-06-30;1;Outras Cotas de FI;ITAU SOBERANO RF SIMPLES LP FICFI;06175696000173;;;;;;17758.21;1079460.59
04.141.645/0001-03;2023-03-31;1;Outros Ativos Financeiros;Aplicação Itaú Especial RF;60701190000104;;;;CDB;;1418.7;141007.99
04.141.645/0001-03;2023-03-31;1;Outros Ativos Financeiros;Aplicação Itaú Cap Perf FIX MM;60701190000104;;;;CDB;;196.56;140002.46
04.141.645/0001-03;2023-03-31;1;Outras Cotas de FI;Aplicação Itaú Premium Referenciado;60701190000104;;;;;;5031.84;708329.41
04.141.645/0001-03;2023-03-31;1;Outros Ativos Financeiros;Aplicação Itaú Trust DI;60701190000104;;;;CDB;;6187.29;1978131.78
04.141.645/0001-03;2023-06-30;1;Outros Ativos Financeiros;Aplicação Itaú Cap Perf FIX MM;60701190000104;;;;CDB;;195.13;143089.15
04.141.645/0001-03;2023-06-30;1;Outros Ativos Financeiros;Aplicação Itaú Especial RF;60701190000104;;;;CDB;;1406.53;144042.1
04.141.645/0001-03;2023-06-30;1;Outros Ativos Financeiros;Aplicação Itaú Trust DI;60701190000104;;;;CDB;;6415.91;2117272.97
04.141.645/0001-03;2023-06-30;1;Outras Cotas de FI;Aplicação Itaú Premium Referenciado;60701190000104;;;;;;4995.02;725335.96
04.722.883/0001-02;2023-03-31;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;482261;5845.09
04.722.883/0001-02;2023-03-31;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;225590;2734.19
04.722.883/0001-02;2023-03-31;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;452653;4556.5
04.722.883/0001-02;2023-03-31;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;241997;2933.05
04.722.883/0001-02;2023-03-31;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;241656;2928.92
04.722.883/0001-02;2023-03-31;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;216926;2629.18
04.722.883/0001-02;2023-03-31;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;32587632;338525.21
04.722.883/0001-02;2023-03-31;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;1247030;15114.24
04.722.883/0001-02;2023-03-31;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;1674473;20294.93
04.722.883/0001-02;2023-03-31;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;222823;2700.66
04.722.883/0001-02;2023-03-31;1;Outras Cotas de FI;BTGP TESOURO SELIC FI RF REFERENCIADO DI;09215250000113;;;;;;1096604.39;4075164.31
04.722.883/0001-02;2023-03-31;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;439099;5321.96
04.722.883/0001-02;2023-03-31;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;208491;2526.95
04.722.883/0001-02;2023-03-31;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;32400030;335722.95
04.722.883/0001-02;2023-03-31;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;203845;2470.64
04.722.883/0001-02;2023-03-31;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;350272;4245.36
04.722.883/0001-02;2023-03-31;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;227547;2757.91
04.722.883/0001-02;2023-03-31;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;1386753;16807.71
04.722.883/0001-02;2023-06-30;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;350272;4380.27
04.722.883/0001-02;2023-06-30;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;203845;2549.15
04.722.883/0001-02;2023-06-30;1;Outras Cotas de FI;BTGP TESOURO SELIC FI RF REFERENCIADO DI;09215250000113;;;;;;1177758.68;4532561.83
04.722.883/0001-02;2023-06-30;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;482261;6030.84
04.722.883/0001-02;2023-06-30;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;216926;2712.73
04.722.883/0001-02;2023-06-30;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;227547;2845.55
04.722.883/0001-02;2023-06-30;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;1674473;20939.85
04.722.883/0001-02;2023-06-30;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;32400030;346284.07
04.722.883/0001-02;2023-06-30;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;439099;5491.08
04.722.883/0001-02;2023-06-30;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;208491;2607.25
04.722.883/0001-02;2023-06-30;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;241997;3026.25
04.722.883/0001-02;2023-06-30;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;32587632;349174.52
04.722.883/0001-02;2023-06-30;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;1386753;17341.82
04.722.883/0001-02;2023-06-30;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;452653;4699.84
04.722.883/0001-02;2023-06-30;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;1247030;15594.53
04.722.883/0001-02;2023-06-30;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;222823;2786.48
04.722.883/0001-02;2023-06-30;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;225590;2821.08
04.722.883/0001-02;2023-06-30;1;Outros Ativos Financeiros;BANCO BTG PACTUAL S A;30306294000145;;;;CDB;;241656;3021.99
04.782.236/0001-88;2023-03-31;2;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2029;;27;348130.92
04.782.236/0001-88;2023-03-31;2;Outras Cotas de FI;AZ QUEST LOW VOL FIM;10320188000109;;;;;;375082.277504;1524197.47
04.782.236/0001-88;2023-03-31;2;Outras Cotas de FI;V8 CASH FUNDO DE INVESTIMENTO;30509221000150;;;;;;144758.97;188582.5
04.782.236/0001-88;2023-03-31;2;Outras Cotas de FI;AZ QUEST TERMO FIM;22681798000117;;;;;;82299.42;158134.22
04.782.236/0001-88;2023-06-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2029;;14;185915.74
04.782.236/0001-88;2023-06-30;1;Outras Cotas de FI;AZ QUEST TERMO FIM;22681798000117;;;;;;82299.42;159824.64
04.782.236/0001-88;2023-06-30;1;Outras Cotas de FI;V8 CASH FUNDO DE INVESTIMENTO;30509221000150;;;;;;144758.97;140771.02
04.782.236/0001-88;2023-06-30;1;Outras Cotas de FI;AZ QUEST LOW VOL FIM;10320188000109;;;;;;375082.277504;620883.29
05.437.916/0001-27;2023-03-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2027;;12;153504.35
05.437.916/0001-27;2023-03-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2028;;48;613747.36
05.437.916/0001-27;2023-03-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 09/2027;;6;76338.57
05.437.916/0001-27;2023-03-31;1;Outras Cotas de FI;BTG PACTUAL TESOURO SELIC FI RF REF DI;9215250000113;;;;;;94.9786198;353.58
05.437.916/0001-27;2023-03-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 09/2026;;36;460089.68
05.437.916/0001-27;2023-03-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 09/2028;;29;372712.96
05.437.916/0001-27;2023-03-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2029;;22;283526.47
05.437.916/0001-27;2023-06-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 09/2026;;11;144338.42
05.437.916/0001-27;2023-06-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2028;;48;634492.06
05.437.916/0001-27;2023-06-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 09/2027;;6;78384.06
05.437.916/0001-27;2023-06-30;1;Outras Cotas de FI;BTG PACTUAL TESOURO SELIC FI RF REF DI;9215250000113;;;;;;94.1151908;363
05.437.916/0001-27;2023-06-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2027;;6;78799.42
05.437.916/0001-27;2023-06-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 09/2028;;28;369277.84
05.437.916/0001-27;2023-06-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2029;;43;571984.52
05.562.312/0001-02;2023-03-31;1;Outras Cotas de FI;BTG PACTUAL YIELD DI FI RF REF CP;00840011000180;;;;;;120144.44;4569884.84
05.562.312/0001-02;2023-06-30;1;Outras Cotas de FI;BTG PACTUAL YIELD DI FI RF REF CP;00840011000180;;;;;;12934.34;510285.42
07.000.400/0001-46;2023-03-31;1;Outras Cotas de FI;ITAU TOP RF REFERENCIADO DI FICFI;05902521000158;;;;;;725389.15;4275374.13
07.000.400/0001-46;2023-03-31;1;Outras Cotas de FI;ITAU SOBERANO RF SIMPLES LP FICFI;06175696000173;;;;;;346604.07;20370153.01
07.000.400/0001-46;2023-06-30;1;Outras Cotas de FI;ITAU SOBERANO RF SIMPLES LP FICFI;06175696000173;;;;;;295118.09;17759629.39
07.000.400/0001-46;2023-06-30;1;Outras Cotas de FI;ITAU TOP RF REFERENCIADO DI FICFI;05902521000158;;;;;;719952.73;4434481.82
07.122.725/0001-00;2023-03-31;1;Outras Cotas de FI;ITAU SOBERANO RF SIMPLES LP FICFI;06175696000173;;;;;;33967.76;1997978.52
07.122.725/0001-00;2023-03-31;1;Outros Ativos Financeiros;Caixa Econômica;00360305/0001-04;;;;CDB FLEX EMPRESARIAL;;4;499083.84
07.122.725/0001-00;2023-03-31;1;Outras Cotas de FI;FIC DE FI CAIXA PREMIUM RF REFERENCIADO LP;10646885000154;;;;;;527688.46;1703566.21
07.122.725/0001-00;2023-06-30;1;Outros Ativos Financeiros;CAIXA ECONOMICA FEDERAL;00360305000104;;;;CDB;;2800000;35489.22
07.122.725/0001-00;2023-06-30;1;Outras Cotas de FI;ITAU SOBERANO RF SIMPLES LP FICFI;06175696000173;;;;;;42373.33;2574949.97
07.122.725/0001-00;2023-06-30;1;Outros Ativos Financeiros;CAIXA ECONOMICA FEDERAL;00360305000104;;;;CDB;;1997633;25361.47
07.122.725/0001-00;2023-06-30;1;Outras Cotas de FI;FIC DE FI CAIXA PREMIUM RF REFERENCIADO LP;10646885000154;;;;;;522926.86;1743176.68
07.122.725/0001-00;2023-06-30;1;Outros Ativos Financeiros;CAIXA ECONOMICA FEDERAL;00360305000104;;;;CDB;;36122294;442044.34
07.122.725/0001-00;2023-06-30;1;Outros Ativos Financeiros;CAIXA ECONOMICA FEDERAL;00360305000104;;;;CDB;;750000;9294.17
07.224.019/0001-60;2023-03-31;1;Outras Cotas de FI;ITAU SOBERANO RF SIMPLES LP FICFI;06175696000173;;;;;;625833.37;36860822.64
07.224.019/0001-60;2023-06-30;1;Outras Cotas de FI;ITAU SOBERANO RF SIMPLES LP FICFI;06175696000173;;;;;;572159.98;34779915.1
